open,high,low,close,volume,timestamp
5.461075147,5.795739109,3.431408143,3.695768491,37231099.73,2023-03-02T00:00:00.000Z
3.694817019,3.793798547,2.987428913,3.07282879,12562749.34,2023-03-03T00:00:00.000Z
3.07320018,3.639086387,3.053057555,3.573192889,5998816.1,2023-03-04T00:00:00.000Z
3.572753269,4.069293912,3.239949961,3.433457399,10282252.23,2023-03-05T00:00:00.000Z
3.433118903,3.525523262,3.137114209,3.208663014,4183440,2023-03-06T00:00:00.000Z
3.212455599,3.327589934,3.009666775,3.113451366,6182480,2023-03-07T00:00:00.000Z
3.111583555,3.25694627,2.698649966,2.698689611,5547028.27,2023-03-08T00:00:00.000Z
2.699899463,2.858523957,2.213626407,2.484196969,6429336.77,2023-03-09T00:00:00.000Z
2.485132552,2.512383017,2.131193731,2.164737477,4657305.15,2023-03-10T00:00:00.000Z
2.162715681,2.462509471,1.878404746,2.008013949,4141739.3,2023-03-11T00:00:00.000Z
2.005910876,2.502397416,1.951170855,2.461004122,4281129.36,2023-03-12T00:00:00.000Z
2.457372763,2.634660874,2.262806285,2.537269276,5704226.12,2023-03-13T00:00:00.000Z
2.542169855,2.781980079,2.330188967,2.364555554,4238450.75,2023-03-14T00:00:00.000Z
2.364891534,2.471108367,2.121946507,2.183139568,2495234.86,2023-03-15T00:00:00.000Z
2.182868074,2.248633254,2.086207087,2.24672471,1961818.61,2023-03-16T00:00:00.000Z
2.248106255,2.347547917,2.208619207,2.286569137,10056373.86,2023-03-17T00:00:00.000Z
2.286501468,2.326914824,2.213613778,2.239968874,2489820.67,2023-03-18T00:00:00.000Z
2.239964717,2.245133114,2.161268733,2.170747406,1465889.89,2023-03-19T00:00:00.000Z
2.170886063,2.170886063,1.995257615,1.996608317,2156704.59,2023-03-20T00:00:00.000Z
1.996687869,2.070396617,1.919868996,2.010135443,2143861.92,2023-03-21T00:00:00.000Z
2.010412611,2.042011644,1.950838411,1.996403358,2045634.3,2023-03-22T00:00:00.000Z
1.996493504,2.104309663,1.954656624,1.971923351,3551118.96,2023-03-23T00:00:00.000Z
1.972040162,1.984063839,1.6949947,1.69531158,2522736.49,2023-03-24T00:00:00.000Z
1.695649398,1.72762538,1.582940007,1.585720408,2566952.13,2023-03-25T00:00:00.000Z
1.585767629,1.605448265,1.521746036,1.529484959,1459366.78,2023-03-26T00:00:00.000Z
1.530012692,1.616126408,1.463389427,1.526750847,1954904.78,2023-03-27T00:00:00.000Z
1.526731817,1.541494359,1.434610701,1.535514947,1155351.92,2023-03-28T00:00:00.000Z
1.535505135,1.775714975,1.518100306,1.558419256,1919535.05,2023-03-29T00:00:00.000Z
1.558657844,1.586541201,1.515443622,1.516754055,1213944.13,2023-03-30T00:00:00.000Z
1.516687019,1.516687019,1.414925805,1.458059553,1777365.51,2023-03-31T00:00:00.000Z
1.45802752,1.492478002,1.371377455,1.380778701,1055917.41,2023-04-01T00:00:00.000Z
1.377293945,1.390909845,1.290704174,1.320543808,1393333.64,2023-04-02T00:00:00.000Z
1.320307412,1.570984126,1.304544269,1.331592942,1652342.46,2023-04-03T00:00:00.000Z
1.331585799,1.379421667,1.31346678,1.375372405,1288306.55,2023-04-04T00:00:00.000Z
1.374885212,1.394974064,1.328704089,1.341911229,1095432.7,2023-04-05T00:00:00.000Z
1.341876038,1.470897165,1.326271887,1.42546926,1641397.68,2023-04-06T00:00:00.000Z
1.425463849,1.971898184,1.392943377,1.726064654,6314926.69,2023-04-07T00:00:00.000Z
1.724422375,1.726092705,1.52194696,1.544787098,2383976.08,2023-04-08T00:00:00.000Z
1.545453029,1.651889106,1.535550254,1.583542661,1791966.21,2023-04-09T00:00:00.000Z
1.583280912,1.890617051,1.55820402,1.692601625,3466942.83,2023-04-10T00:00:00.000Z
1.69256862,1.706959935,1.63014914,1.641004349,1737025.28,2023-04-11T00:00:00.000Z
1.639999113,2.068737385,1.629816994,1.97776719,4761726.65,2023-04-12T00:00:00.000Z
